prop_comfortable,prop_okay,prop_just,prop_difficult,location,label,population_name,metric_type,housing_tenure
0.32,0.22,0.14,0.32,71,all_mortgage_11_3_White_TCC_200000,White,TCC,all_mortgage 200000
0.1,0.12,0.14,0.64,73,all_mortgage_11_3_White_TCC_200000,White,TCC,all_mortgage 200000
0.03,0.04,0.05,0.88,75,all_mortgage_11_3_White_TCC_200000,White,TCC,all_mortgage 200000
0.33,0.22,0.14,0.32,77,all_mortgage_11_3_White_TCC_200000,White,TCC,all_mortgage 200000
0.07,0.08,0.11,0.74,79,all_mortgage_11_3_White_TCC_200000,White,TCC,all_mortgage 200000
0.04,0.05,0.07,0.85,81,all_mortgage_11_3_White_TCC_200000,White,TCC,all_mortgage 200000
0.09,0.11,0.13,0.67,83,all_mortgage_11_3_White_TCC_200000,White,TCC,all_mortgage 200000
0.05,0.06,0.08,0.81,85,all_mortgage_11_3_White_TCC_200000,White,TCC,all_mortgage 200000
0.07,0.08,0.1,0.76,87,all_mortgage_11_3_White_TCC_200000,White,TCC,all_mortgage 200000
0.4,0.22,0.12,0.25,89,all_mortgage_11_3_White_TCC_200000,White,TCC,all_mortgage 200000
0.21,0.19,0.16,0.45,95,all_mortgage_11_3_White_TCC_200000,White,TCC,all_mortgage 200000
0.12,0.13,0.15,0.6,97,all_mortgage_11_3_White_TCC_200000,White,TCC,all_mortgage 200000
0.45,0.2,0.11,0.24,99,all_mortgage_11_3_White_TCC_200000,White,TCC,all_mortgage 200000
0.58,0.17,0.08,0.16,107,all_mortgage_11_3_White_TCC_200000,White,TCC,all_mortgage 200000
0.15,0.17,0.15,0.53,111,all_mortgage_11_3_White_TCC_200000,White,TCC,all_mortgage 200000
0.15,0.17,0.16,0.52,113,all_mortgage_11_3_White_TCC_200000,White,TCC,all_mortgage 200000
0.2,0.19,0.16,0.45,0,all_mortgage_11_3_White_TCC_100000,White,TCC,all_mortgage 100000
0.05,0.06,0.08,0.81,1,all_mortgage_11_3_White_TCC_100000,White,TCC,all_mortgage 100000
0.23,0.21,0.16,0.39,7,all_mortgage_11_3_White_TCC_100000,White,TCC,all_mortgage 100000
0.09,0.12,0.13,0.66,13,all_mortgage_11_3_White_TCC_100000,White,TCC,all_mortgage 100000
0.17,0.17,0.16,0.5,17,all_mortgage_11_3_White_TCC_100000,White,TCC,all_mortgage 100000
0.35,0.22,0.13,0.3,19,all_mortgage_11_3_White_TCC_100000,White,TCC,all_mortgage 100000
0.17,0.17,0.16,0.51,23,all_mortgage_11_3_White_TCC_100000,White,TCC,all_mortgage 100000
0.41,0.22,0.12,0.25,25,all_mortgage_11_3_White_TCC_100000,White,TCC,all_mortgage 100000
0.31,0.22,0.14,0.32,29,all_mortgage_11_3_White_TCC_100000,White,TCC,all_mortgage 100000
0.39,0.22,0.12,0.27,31,all_mortgage_11_3_White_TCC_100000,White,TCC,all_mortgage 100000
0.07,0.09,0.11,0.73,37,all_mortgage_11_3_White_TCC_100000,White,TCC,all_mortgage 100000
0.28,0.21,0.15,0.36,39,all_mortgage_11_3_White_TCC_100000,White,TCC,all_mortgage 100000
0.04,0.04,0.06,0.86,41,all_mortgage_11_3_White_TCC_100000,White,TCC,all_mortgage 100000
0.3,0.22,0.14,0.34,47,all_mortgage_11_3_White_TCC_100000,White,TCC,all_mortgage 100000
0.08,0.1,0.12,0.7,55,all_mortgage_11_3_White_TCC_100000,White,TCC,all_mortgage 100000
0.09,0.11,0.13,0.68,59,all_mortgage_11_3_White_TCC_100000,White,TCC,all_mortgage 100000
0.14,0.16,0.15,0.55,61,all_mortgage_11_3_White_TCC_100000,White,TCC,all_mortgage 100000
0.22,0.2,0.15,0.43,65,all_mortgage_11_3_White_TCC_100000,White,TCC,all_mortgage 100000
0.19,0.19,0.16,0.47,67,all_mortgage_11_3_White_TCC_100000,White,TCC,all_mortgage 100000
0.25,0.21,0.15,0.39,71,all_mortgage_11_3_White_TCC_100000,White,TCC,all_mortgage 100000
0.08,0.1,0.12,0.7,73,all_mortgage_11_3_White_TCC_100000,White,TCC,all_mortgage 100000
0.03,0.04,0.05,0.89,75,all_mortgage_11_3_White_TCC_100000,White,TCC,all_mortgage 100000
0.26,0.21,0.15,0.38,77,all_mortgage_11_3_White_TCC_100000,White,TCC,all_mortgage 100000
0.06,0.07,0.09,0.79,79,all_mortgage_11_3_White_TCC_100000,White,TCC,all_mortgage 100000
0.03,0.04,0.06,0.86,81,all_mortgage_11_3_White_TCC_100000,White,TCC,all_mortgage 100000
0.07,0.09,0.12,0.72,83,all_mortgage_11_3_White_TCC_100000,White,TCC,all_mortgage 100000
0.04,0.05,0.08,0.83,85,all_mortgage_11_3_White_TCC_100000,White,TCC,all_mortgage 100000
0.06,0.06,0.09,0.79,87,all_mortgage_11_3_White_TCC_100000,White,TCC,all_mortgage 100000
0.29,0.22,0.15,0.34,89,all_mortgage_11_3_White_TCC_100000,White,TCC,all_mortgage 100000
